username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,,,,,,,,,,
29% De Latinos voto por Donald Trump ¿Por que votarían por el? #TrumpPresident #hillaryclinton #hillary #donaldtrump #vote ##voteforhillary pic.twitter.com/MMj2TREaqe,,,,,,,,,,
#VoteForHillary,,,,,,,,,,
#Fatherhood #Motherhood #Toddlers #Kids #Children #USElection #Hillary #VoteForHillary #VoteForTrump #PresidentTrump pic.twitter.com/MxuuSE2Zrd,,,,,,,,,,
How did this happen!? The whole Europe is wondering that! Why did you vote for #Trump ? #VoteForHillary #HesNotMyPresident,,,,,,,,,,
Ed ora maria elena boschi dove te la metti la spilletta #voteforhillary ? #IoVotoNO #Renziportasfiga @meb @pdnetwork,,,,,,,,,,
#RIPAmerika What happen to the world? #voteforhillary,,,,,,,,,,
Really? Trump won, frankly dear I don't give a damn #voteforHillary .,,,,,,,,,
Hei verden! Nå må vi jobbe enda mer for en rettferdig verden #skuffet #voteforhillary #ærremulig #demokrati #jobbemersovemindre,,,,,,,,,,
Can't believe you guys vote for Trump. You are sick #voteforHillary,,,,,,,,,,
#elshowmaschido #trump #hillaryclinton #hillary #donaldtrump #vote #votefortrump #voteforhillary pic.twitter.com/7JNt3MDV0s,,,,,,,,,,
https://www. facebook.com/cnn/videos/101 55578313466509/ … #youhadtothinktwice #whatahell #ElectionNight #voteforhillary #ElectionDay #ImWithHer,,,,,,,,,,
Why are we voting for someone who's never even been a politician. for someone who is probably gonna start war #voteforhillary #Elections2016 pic.twitter.com/E1swonlsCB,,,,,,,,,,
"Hillary save for ussssss do not vote 4 "" Racist man trump "" !! #voteforHillary #imwithHer",,,,,,,,,,
This sums up tonoight #ImWitHer #Elections2016 #ImVotingBecause #vote2016 #voteforhillary #HillaryClinton #ClintonKaine2016 #ClintonVsTrump pic.twitter.com/mgJyOXrO6z,,,,,,,,,,
Omg what the f*** why trump!?? Are you dumb Americans??? Seriously are you kidding??? Fuck who vote for trump F U ALL #voteforhillary,,,,,,,,,,
@FaZeApex @FaZe_Rain @OS1K_Saint @TempzHD_ for real #electionday #Elections2016 #voteforhillary pic.twitter.com/KM3j59xXty,,,,,,,,,,
#stopracism #dumptrump #voteforhillary #ImWithHer,,,,,,,,,,
Another world disaster happening on 9/11 #ElectionNight #electionday #Elections2016 #Election2016 #voteforhillary #werealldoomed,,,,,,,,,,
